unseen_transaction,matched_transaction,matched_class,previous_classes
TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 20/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
UNITED DEE WHY DEE WHY NS AUS Card xx6552 Value Date: 18/05/2023,Girdlers Dee Why Dee Why NS AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,Transport
WOOLWORTHS 1472 DEE WHY AU AUS Card xx0033 Value Date: 18/05/2023,WOOLWORTHS 1472 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,Groceries,Groceries
LAWLERS WHOLELIFE DEE WHY NS AUS Card xx0033 Value Date: 18/05/2023,LAWLERS WHOLELIFE DEE WHY NS AUS Card xx6552 Value Date: 20/04/2023,Groceries,Shopping
Direct Debit 617704 PAYPAL AUSTRALIA 1027082065505,Direct Debit 617704 PAYPAL AUSTRALIA 1026641674821,Shopping,Shopping
Direct Credit 371474 RENTALBONDBOARD T280193-8 14 /,Direct Debit 408856 Linkt Sydney 489767212042,Transport,
CASH DEPOSIT CBA ATM DEE WHY B NSW 215502 AUS,Direct Debit 408856 Linkt Sydney 489767212042,Transport,
Fast Transfer From E D MUCCI to PayID Phone Microphone,Fast Transfer From M R LARSEN to PayID Phone Mel- Malm bed frame,,
COLES 0784 DEE WHY AU AUS Card xx6552 Value Date: 16/05/2023,COLES 0784 DEE WHY AU AUS Card xx0033 Value Date: 19/04/2023,Groceries,Groceries
ALDI STORES - DEE WHY DEE WHY AUS Card xx0033 Value Date: 15/05/2023,ALDI STORES - DEE WHY DEE WHY AUS Card xx0033 Value Date: 24/04/2023,Groceries,Groceries
NSW REGISTRY OF BDM M CHIPPENDALE AUS Card xx6552 Value Date: 15/05/2023,MYER WARRINGAH BROOKVALE NS AUS Card xx0033 Value Date: 19/04/2023,Shopping,Utility
VUMBACA FRUIT MARKET DEE WHY AUS Card xx6552 Value Date: 13/05/2023,VUMBACA FRUIT MARKET DEE WHY AUS Card xx6552 Value Date: 20/04/2023,Groceries,Groceries
LIQUORLAND 3626 DEE WHY AU AUS Card xx0033 Value Date: 15/05/2023,BWS LIQUOR 6593 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,DinnerBars
Direct Debit 382220 KTINSURANCE 131558667,Direct Debit 382220 KTINSURANCE 129302914,Travel,Transport
Fast Transfer From RENE LUTZ to PayID Phone table etc,Fast Transfer From M R LARSEN to PayID Phone Mel- Malm bed frame,,
Amazon Digital Svcs. A MELBOURNE AU AUS Card xx6552 Value Date: 13/05/2023,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 21/04/2023,Shopping,Shopping
BUNNINGS 341000 BALGOWLAH AUS Card xx6552 Value Date: 12/05/2023,BUNNINGS 341000 BALGOWLAH AUS Card xx6552 Value Date: 11/04/2023,Travel,Shopping
WOOLWORTHS 1472 DEE WHY AU AUS Card xx6552 Value Date: 13/05/2023,WOOLWORTHS 1472 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,Groceries,Groceries
WOOLWORTHS 1472 DEE WHY AU AUS Card xx0033 Value Date: 12/05/2023,WOOLWORTHS 1472 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,Groceries,Groceries
Fast Transfer From LEANDRO PARDINI MORAI to PayID Phone Vacum,Fast Transfer From M R LARSEN to PayID Phone Mel- Malm bed frame,,
IKEA PTY LTD TEmpe NS AUS Card xx6552 Value Date: 11/05/2023,WOOLWORTHS 1472 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,Groceries,Shopping
AMAZON AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 11/05/2023,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 21/04/2023,Shopping,Shopping
TRANSPORTFORNSW TAP SYDNEY AUS Card xx6552 Value Date: 10/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 10/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
Transfer to other Bank NetBank 14 84 Dee Why Pde,Transfer to other Bank NetBank 14 84 Dee Why Pde,Living,Living
Fast Transfer From JONATHAN D BISCHOFF Seat,Fast Transfer From M R LARSEN to PayID Phone Mel- Malm bed frame,,
RivaReno Gelato Barangaroo NS AUS Card xx0033 Value Date: 09/05/2023,RivaReno Gelato Barangaroo NS AUS Card xx0033 Value Date: 08/04/2023,DinnerBars,DinnerBars
Bar Luca Sydney NS AUS Card xx0033 Value Date: 09/05/2023,RivaReno Gelato Barangaroo NS AUS Card xx0033 Value Date: 08/04/2023,DinnerBars,DinnerBars
SQ *HAVEN SPECIALTY CO Haymarket NS AUS Card xx0033 Value Date: 09/05/2023,SQ *HAVEN SPECIALTY CO Haymarket NS AUS Card xx0033 Value Date: 08/04/2023,DinnerBars,DinnerBars
ALDI STORES - DEE WHY DEE WHY AUS Card xx0033 Value Date: 08/05/2023,ALDI STORES - DEE WHY DEE WHY AUS Card xx0033 Value Date: 24/04/2023,Groceries,Groceries
TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 09/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
COLES 0784 DEE WHY AU AUS Card xx0033 Value Date: 08/05/2023,COLES 0784 DEE WHY AU AUS Card xx0033 Value Date: 19/04/2023,Groceries,Groceries
COLES 0944 DEE WHY AU AUS Card xx0033 Value Date: 08/05/2023,COLES 0784 DEE WHY AU AUS Card xx0033 Value Date: 19/04/2023,Groceries,Groceries
VUMBACA FRUIT MARKET DEE WHY AUS Card xx0033 Value Date: 05/05/2023,VUMBACA FRUIT MARKET DEE WHY AUS Card xx6552 Value Date: 20/04/2023,Groceries,Groceries
BEACHWHEELS AUTOMOTIV FRESHWATER NS AUS Card xx6552 Value Date: 05/05/2023,Return SUPER CHEAP AUTO BROOKVALE NS AUS Card xx0033 Value Date: 19/04/2023,,Transport
AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 05/05/2023,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 21/04/2023,Shopping,Shopping
Jaycar Electronics Brookvale NS AUS Card xx6552 Value Date: 06/05/2023,Jaycar Electronics Brookvale NS AUS Card xx6552 Value Date: 10/04/2023,Travel,Shopping
AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 06/05/2023,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 21/04/2023,Shopping,Shopping
AMAZON AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 06/05/2023,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 21/04/2023,Shopping,Shopping
ARCUS AUTO SERVICES PT BROOKVALE AUS Card xx6552 Value Date: 06/05/2023,SUPER CHEAP AUTO BROOKVALE NS AUS Card xx0033 Value Date: 30/03/2023,Travel,Travel
TRANSPORTFORNSW TAP SYDNEY AUS Card xx6552 Value Date: 06/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
MED*ALDIMobile CHATSWOOD AU AUS Card xx6552 Value Date: 07/05/2023,MED*ALDIMobile CHATSWOOD AU AUS Card xx6552 Value Date: 06/04/2023,Utility,Utility
TRANSPORTFORNSW TAP SYDNEY AUS Card xx6552 Value Date: 06/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
KMART MULGRAVE AUS Card xx6552 Value Date: 06/05/2023,KMART 1378 BROOKVALE AU AUS Card xx0033 Value Date: 18/04/2023,Shopping,Shopping
WOOLWORTHS 1472 DEE WHY AU AUS Card xx0033 Value Date: 05/05/2023,WOOLWORTHS 1472 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,Groceries,Groceries
LIQUORLAND 3626 DEE WHY AU AUS Card xx0033 Value Date: 07/05/2023,BWS LIQUOR 6593 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,DinnerBars
Direct Debit 000793 BUPA AUSTRALIA 447712440000022000,Direct Debit 000793 BUPA AUSTRALIA 447712440000021000,Medical,Medical
Direct Debit 617704 PAYPAL AUSTRALIA 1026853046921,Direct Debit 617704 PAYPAL AUSTRALIA 1026641674821,Shopping,Shopping
International Transaction Fee Value Date: 04/05/2023,Transaction Fee,Shopping,Shopping
MIDJOURNEY INC. SOUTH SAN FRA CA USA Card xx6552 USD 11.00 Value Date: 04/05/2023,SQ *HAVEN SPECIALTY CO Haymarket NS AUS Card xx0033 Value Date: 08/04/2023,DinnerBars,Utility
TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 04/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
ADOBE CREATIVE CLOUD Sydney AU AUS Card xx6552 Value Date: 04/05/2023,ADOBE CREATIVE CLOUD Sydney AU AUS Card xx6552 Value Date: 03/04/2023,Utility,Utility
VUMBACA FRUIT MARKET DEE WHY AUS Card xx6552 Value Date: 02/05/2023,VUMBACA FRUIT MARKET DEE WHY AUS Card xx6552 Value Date: 20/04/2023,Groceries,Groceries
TRANSPORTFORNSW TAP SYDNEY AUS Card xx6552 Value Date: 03/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
WOOLWORTHS 1472 DEE WHY AU AUS Card xx0033 Value Date: 03/05/2023,WOOLWORTHS 1472 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,Groceries,Groceries
TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 03/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
Transfer to other Bank NetBank 14 84 Dee Why Pde,Transfer to other Bank NetBank 14 84 Dee Why Pde,Living,Living
Fast Transfer From VIVIANA VELANDIA ORTI to PayID Phone Viviana velandia,Fast Transfer From M R LARSEN to PayID Phone Mel- Malm bed frame,,
BWS LIQUOR 6593 DEE WHY AU AUS Card xx6552 Value Date: 02/05/2023,BWS LIQUOR 6593 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,DinnerBars
WOOLWORTHS 1472 DEE WHY AU AUS Card xx6552 Value Date: 02/05/2023,WOOLWORTHS 1472 DEE WHY AU AUS Card xx6552 Value Date: 27/04/2023,Groceries,Groceries
OEH NSW SYDNEY SOUTH AUS Card xx6552 Value Date: 02/05/2023,AMAZON MARKETPLACE AU SYDNEY SOUTH NS AUS Card xx6552 Value Date: 21/04/2023,Shopping,Shopping
BIG W 0145 BROOKVALE AU AUS Card xx0033 Value Date: 02/05/2023,BIG W 0145 BROOKVALE AU AUS Card xx0033 Value Date: 18/04/2023,Shopping,Shopping
KMART 1378 BROOKVALE AU AUS Card xx0033 Value Date: 02/05/2023,KMART 1378 BROOKVALE AU AUS Card xx0033 Value Date: 18/04/2023,Shopping,Shopping
COTTON ON KIDS 2265 BROOKVALE NS AUS Card xx0033 Value Date: 02/05/2023,COLES 0897 BROOKVALE AU AUS Card xx0033 Value Date: 30/03/2023,Groceries,Shopping
MYER WARRINGAH BROOKVALE NS AUS Card xx0033 Value Date: 02/05/2023,MYER WARRINGAH BROOKVALE NS AUS Card xx0033 Value Date: 19/04/2023,Shopping,Shopping
Just Cuts Warringah M Brookvale NS AUS Card xx0033 Value Date: 02/05/2023,MYER WARRINGAH BROOKVALE NS AUS Card xx0033 Value Date: 19/04/2023,Shopping,Shopping
ALDI STORES - DEE WHY DEE WHY AUS Card xx0033 Value Date: 01/05/2023,ALDI STORES - DEE WHY DEE WHY AUS Card xx0033 Value Date: 24/04/2023,Groceries,Groceries
BUNNINGS 551000 WARRINGAH MAL AUS Card xx0033 Value Date: 02/05/2023,BUNNINGS 341000 BALGOWLAH AUS Card xx6552 Value Date: 11/04/2023,Travel,Shopping
Direct Debit 617704 PAYPAL AUSTRALIA 1026766882574,Direct Debit 617704 PAYPAL AUSTRALIA 1026641674821,Shopping,Shopping
Direct Debit 617704 PAYPAL AUSTRALIA 1026779654269,Direct Debit 617704 PAYPAL AUSTRALIA 1026641674821,Shopping,Shopping
RivaReno PSQ Parramatta NS AUS Card xx6552 Value Date: 01/05/2023,MYER WARRINGAH BROOKVALE NS AUS Card xx0033 Value Date: 19/04/2023,Shopping,Shopping
MED*ALDIMobile CHATSWOOD AU AUS Card xx6552 Value Date: 01/05/2023,MED*ALDIMobile CHATSWOOD AU AUS Card xx6552 Value Date: 06/04/2023,Utility,Utility
LAWLERS WHOLELIFE DEE WHY NS AUS Card xx0033 Value Date: 01/05/2023,LAWLERS WHOLELIFE DEE WHY NS AUS Card xx6552 Value Date: 20/04/2023,Groceries,Shopping
SMP*The Grind on Geo Parramatta AU AUS Card xx0033 Value Date: 01/05/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,DinnerBars
SMP*Muchacha Mexican North Curl Cu AU AUS Card xx6552 Value Date: 29/04/2023,RivaReno Gelato Barangaroo NS AUS Card xx0033 Value Date: 08/04/2023,DinnerBars,DinnerBars
TRANSPORTFORNSW TAP SYDNEY AUS Card xx6552 Value Date: 29/04/2023,TRANSPORTFORNSW TAP SYDNEY AUS Card xx0033 Value Date: 21/04/2023,Transport,Transport
Girdlers Dee Why Dee Why NS AUS Card xx0033 Value Date: 28/04/2023,Girdlers Dee Why Dee Why NS AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,DinnerBars
Northern Beaches Libra Dee Why NS AUS Card xx0033 Value Date: 28/04/2023,Girdlers Dee Why Dee Why NS AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,Shopping
Northern Beaches Libra Dee Why NS AUS Card xx0033 Value Date: 28/04/2023,Girdlers Dee Why Dee Why NS AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,Shopping
Northern Beaches Libra Dee Why NS AUS Card xx0033 Value Date: 28/04/2023,Girdlers Dee Why Dee Why NS AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,Shopping
SMP*Muchacha Mexican North Curl Cu AU AUS Card xx0033 Value Date: 29/04/2023,RivaReno Gelato Barangaroo NS AUS Card xx0033 Value Date: 08/04/2023,DinnerBars,DinnerBars
CASH DEPOSIT CBA ATM DEE WHY B NSW 215502 AUS,Direct Debit 408856 Linkt Sydney 489767212042,Transport,
Account Fee,Transaction Fee,Shopping,Utility
ALBERT HEIJN 1583//UTRECHT/NL/1 202 3-05-29T15:00:26 Folgenr.000 Verfal ld.2099-12,LAWLERS WHOLELIFE DEE WHY NS AUS Card xx6552 Value Date: 20/04/2023,Groceries,Shopping
MANNEKEN PIS VR//UTRECHT/NL/1 2023- 05-29T09:48:13 Folgenr.000 Verfalld .2099-12,Fast Transfer From M R LARSEN to PayID Phone Mel- Malm bed frame,,Shopping
KRUIDVAT 4871//UTRECHT/NL/1 2023-05 -29T09:22:55 Folgenr.000 Verfalld.2 099-12,KRSSHOP-AUD SINGAPORE SG SGP Card xx6552 AUD 0.26 Value Date: 29/03/2023,Shopping,Shopping
3807 EDEKA GESCHULL//BREITSCHEID/DE 2023-05-30T16:26:13 Folgenr.000 Ve rfalld.2024-12,MED*ALDIMobile CHATSWOOD AU AUS Card xx6552 Value Date: 06/04/2023,Utility,Groceries
ROBERTO GELATO//UTRECHT/NL/1 2023-0 5-28T14:01:53 Folgenr.000 Verfalld. 2099-12,RivaReno Gelato Barangaroo NS AUS Card xx0033 Value Date: 08/04/2023,DinnerBars,DinnerBars
ALBERT HEIJN 1583//UTRECHT/NL/1 202 3-05-28T09:08:16 Folgenr.000 Verfal ld.2099-12,LAWLERS WHOLELIFE DEE WHY NS AUS Card xx6552 Value Date: 20/04/2023,Groceries,Shopping
REWE SAGT DANKE. 43655699//Waldbrei tbach/DE 2023-05-26T13:58:55 Folgen r.000 Verfalld.2024-12 Auszahl. 50.00EUR,Transfer to other Bank NetBank 14 84 Dee Why Pde,Living,Groceries
REWE SAGT DANKE. 43655699//Waldbrei tbach/DE 2023-05-26T13:49:32 Folgen r.000 Verfalld.2024-12,Transfer to other Bank NetBank 14 84 Dee Why Pde,Living,Groceries
Heberer FFM Flgh ACM//Frankfurt am Main/DE 2023-05-23T07:22:03 Folgenr .000 Verfalld.2024-12,Girdlers Dee Why Dee Why NS AUS Card xx6552 Value Date: 27/04/2023,DinnerBars,Shopping
NELLES. DIE BACKMANUFAKTUR Fil 17 G IR 69231139//LINZ AM RHEIN/DE 2023- 05-23T13:48:18 Folgenr.000 Verfalld .2024-12,Return LAWLERS WHOLELIFE DEE WHY NS AUS Card xx0033 Value Date: 17/04/2023,,DinnerBars
FRAPORT AG//FRANKFURT/DE 2023-05-23 T07:10:25 Folgenr.000 Verfalld.2024 -12,MED*ALDIMobile CHATSWOOD AU AUS Card xx6552 Value Date: 06/04/2023,Utility,Transport
ROSSMANN//Frankfurt am Main/DE 2023 -05-23T07:40:44 Folgenr.000 Verfall d.2024-12,SQ *HAVEN SPECIALTY CO Haymarket NS AUS Card xx0033 Value Date: 08/04/2023,DinnerBars,Utility
3311 FETT FRISCHECENTER KG//LINZ AM RHE/DE 2023-05-23T13:44:13 Folgenr .000 Verfalld.2024-12,Direct Debit 382220 KTINSURANCE 129302914,Travel,Groceries
EURO-Überweisung,MED*ALDIMobile CHATSWOOD AU AUS Card xx6552 Value Date: 06/04/2023,Utility,
